Epoch,Total Requests,Llama_8B Requests,Llama_70B Requests,Total tokens,Llama_8B tokens,Llama_70B tokens
243,3599,3597,2,685292,684419,873
244,2436,2433,3,471030,467866,3164
245,1435,1431,4,321088,301836,19252
246,1316,1311,5,283038,268304,14734
247,1719,1705,14,365602,349791,15811
248,2694,2676,18,534534,524369,10165
249,2428,2412,16,493722,474941,18781
250,631,612,19,179265,156363,22902
251,1206,1188,18,277787,254495,23292
252,1571,1551,20,382802,358228,24574
253,2954,2941,13,672063,657791,14272
254,3424,3397,27,791450,765206,26244
255,2498,2465,33,605679,556312,49367
256,763,735,28,232878,165651,67227
257,2559,2540,19,542661,500906,41755
258,1013,999,14,249480,231332,18148
259,1573,1552,21,385506,364114,21392
260,2233,2200,33,504574,447937,56637
261,3445,3428,17,694639,668801,25838
262,4189,4178,11,1011306,984965,26341
263,4067,4057,10,1155080,1134341,20739
264,4936,4931,5,1257948,1244582,13366
265,4839,4832,7,1199087,1180075,19012
266,4534,4526,8,991679,986828,4851
267,2934,2928,6,733889,729448,4441
268,2719,2704,15,699062,676811,22251
269,1652,1643,9,362059,334480,27579
270,1835,1823,12,390910,370539,20371
271,1804,1792,12,389005,364813,24192
272,1224,1216,8,263285,247819,15466
273,1611,1595,16,385386,331351,54035
274,909,891,18,226908,183321,43587
275,866,861,5,165555,157729,7826
276,1553,1532,21,382621,363578,19043
277,2613,2145,468,684969,464798,220171
278,1216,949,267,383909,222318,161591
279,3093,2886,207,930140,665904,264236
280,4404,4099,305,1344199,905673,438526
281,3428,3244,184,1008750,723643,285107
282,3201,3115,86,1071284,925227,146057
283,2323,2135,188,746500,457452,289048
284,694,552,142,364512,143406,221106
285,249,114,135,253622,23630,229992
286,1403,1246,157,509112,246390,262722
287,1410,1186,224,476049,230760,245289
288,991,668,323,376483,132623,243860
289,1330,1091,239,506314,227920,278394
290,1567,1375,192,533659,318762,214897
291,2331,2174,157,600916,403021,197895
292,1259,1132,127,462677,270123,192554
293,1517,1228,289,553562,293507,260055
294,1774,1626,148,534183,374295,159888
295,1216,1004,212,498461,243907,254554
296,1555,1385,170,509539,326853,182686
297,1510,1349,161,497082,315309,181773
298,1675,1278,397,766241,248597,517644
299,1863,1617,246,692088,376822,315266
300,1967,1756,211,560012,349864,210148
301,1328,757,571,337386,95571,241815
302,1254,980,274,302926,108604,194322
303,1843,1460,383,459801,231077,228724
304,1911,1755,156,565947,317009,248938
305,2571,2382,189,749480,433098,316382
306,2517,2364,153,691326,429294,262032
307,2745,2570,175,722149,465895,256254
308,2467,2217,250,743117,383612,359505
309,1212,1016,196,412907,112864,300043
310,1409,1240,169,423940,144871,279069
311,1848,1652,196,655779,332449,323330
312,1502,1280,222,619323,298730,320593
313,728,628,100,288055,147511,140544
314,842,684,158,321479,159532,161947
315,1462,1041,421,600217,243977,356240
316,1527,1151,376,609928,268784,341144
317,2955,2953,2,691335,689431,1904
318,2337,2337,0,546123,546123,0
319,806,806,0,189055,189055,0
320,858,858,0,200180,200180,0
321,1003,1003,0,235135,235135,0
322,1472,1472,0,344524,344524,0
323,1451,1450,1,344581,340805,3776
324,1442,1435,7,349833,335261,14572
325,1276,1271,5,307029,298957,8072
326,1438,1422,16,382517,364511,18006
327,1268,1256,12,551406,529732,21674
328,59,28,31,35524,19771,15753
329,548,420,128,313358,111886,201472
330,1743,1576,167,631674,385738,245936
331,2348,2149,199,731292,516834,214458
332,1433,1174,259,514529,313267,201262
333,2745,2633,112,719052,622336,96716
334,5029,4892,137,1218763,1079312,139451
335,5483,5349,134,1316529,1185941,130588
336,5231,5179,52,1109238,1056152,53086
337,3549,3449,100,789648,691865,97783
338,1627,1525,102,428846,307444,121402
339,2722,2656,66,653988,570252,83736
340,2832,2810,22,639078,607467,31611
341,2445,2351,94,628877,507143,121734
342,4101,3962,139,1017377,854908,162469
343,3016,2946,70,720630,639619,81011
344,2614,2509,105,677602,567541,110061
345,1391,1293,98,419236,312124,107112
346,2251,2148,103,597063,481169,115894
347,3376,3256,120,852591,731118,121473
348,2706,2526,180,792165,602673,189492
349,3745,3576,169,1010143,818497,191646
350,4647,4504,143,1200299,1044106,156193
351,4111,3993,118,1213236,1079742,133494
352,4208,4042,166,1173029,990379,182650
353,3651,3397,254,1072367,782832,289535
354,3034,2895,139,844683,695381,149302
355,1819,1685,134,590664,405862,184802
356,2562,2444,118,733536,570687,162849
357,2184,2038,146,659480,467980,191500
358,2869,2728,141,820158,628624,191534
359,2942,2829,113,791634,634608,157026
360,3573,3464,109,941354,770841,170513
361,3493,3394,99,911710,753093,158617
362,3045,2891,154,853867,645754,208113
363,4114,3904,210,1125286,885902,239384
364,3205,3106,99,829448,699396,130052
365,3081,2965,116,828121,664656,163465
366,3699,3558,141,973880,782140,191740
367,3889,3704,185,1031575,813647,217928
368,2396,2257,139,649579,493078,156501
369,2230,2105,125,638829,469351,169478
370,2806,2664,142,799615,594059,205556
371,2149,2010,139,641888,437749,204139
372,2734,2530,204,760192,564992,195200
373,1851,1753,98,531251,389861,141390
374,835,726,109,294813,181722,113091
375,1459,1365,94,369891,298992,70899
376,2056,1968,88,530825,462873,67952
377,2999,2980,19,722360,693424,28936
378,2057,1987,70,531330,488402,42928
379,2944,2941,3,707352,700834,6518
380,1807,1800,7,441293,431501,9792
381,2398,2383,15,593802,580320,13482
382,1047,1041,6,260971,250468,10503
383,1234,1232,2,290576,288787,1789
384,7,4,3,8463,2285,6178
385,6,5,1,3232,3045,187
386,5,5,0,2962,2962,0
387,9,8,1,9859,9369,490
388,4,4,0,2119,2119,0
389,6,4,2,4915,3485,1430
390,8,6,2,9222,7994,1228
391,9,8,1,15493,14265,1228
392,7,6,1,10223,9642,581
393,6,3,3,21756,5857,15899
394,3,1,2,6292,566,5726
395,3,1,2,6292,566,5726
396,583,580,3,130455,127166,3289
397,791,790,1,173085,169747,3338
398,1,0,1,3932,0,3932
399,2,0,2,4983,0,4983
400,3,1,2,10083,260,9823
401,2,0,2,10820,0,10820
402,2,0,2,10820,0,10820
403,2,0,2,10820,0,10820
404,2,0,2,10820,0,10820
405,11,10,1,35930,30251,5679
406,2,2,0,10148,10148,0
407,1,1,0,970,970,0
408,1,1,0,1116,1116,0
409,671,671,0,139678,139678,0
410,696,696,0,146330,146330,0
411,1,1,0,2863,2863,0
412,3,3,0,11645,11645,0
413,1,1,0,4744,4744,0
414,1,1,0,4744,4744,0
415,1,1,0,4744,4744,0
416,1,1,0,4744,4744,0
417,3,3,0,668,668,0
418,1,1,0,31,31,0
419,9,7,2,10898,8139,2759
420,13,12,1,7127,3900,3227
421,23,17,6,23759,6848,16911
422,25,18,7,9751,6525,3226
423,24,20,4,7221,5983,1238
424,62,45,17,65274,44607,20667
425,50,32,18,48646,20326,28320
426,62,33,29,38071,14324,23747
427,72,50,22,73206,53479,19727
428,1410,1393,17,319964,300979,18985
429,36,27,9,30757,19810,10947
430,25,16,9,22136,10619,11517
431,17,13,4,9955,5784,4171
432,16,10,6,17542,12625,4917
433,17,14,3,17624,11389,6235
434,15,9,6,24763,7380,17383
435,15,12,3,18826,7497,11329
436,8,5,3,3436,1430,2006
437,21,12,9,25135,7590,17545
438,24,17,7,35995,13744,22251
439,28,18,10,16916,6012,10904
440,39,25,14,22775,11538,11237
441,34,23,11,27292,12433,14859
442,511,503,8,125857,118194,7663
443,30,21,9,18091,8073,10018
444,37,26,11,21060,10866,10194
445,37,26,11,30030,16981,13049
446,46,32,14,56340,23332,33008
447,55,40,15,43720,29244,14476
448,60,35,25,63789,31338,32451
449,1349,1330,19,308641,293252,15389
450,123,106,17,62460,52512,9948
451,70,50,20,64470,38799,25671
452,85,67,18,91142,66014,25128
453,62,45,17,84911,65148,19763
454,66,58,8,61138,45684,15454
455,30,24,6,44466,39974,4492
456,11,11,0,10762,10762,0
457,9,5,4,22052,10024,12028
458,16,6,10,12229,4875,7354
459,33,18,15,34647,14381,20266
460,49,16,33,72307,17761,54546
461,347,335,12,102471,81259,21212
462,1054,1051,3,226951,224725,2226
463,10,3,7,14551,2525,12026
464,14,10,4,15672,8263,7409
465,15,11,4,25808,20038,5770
466,15,5,10,26685,8759,17926
467,9,4,5,13598,3534,10064
468,15,5,10,20666,4336,16330
469,19,12,7,18890,10274,8616
470,9,7,2,9151,5125,4026
471,807,800,7,178010,171881,6129
472,576,571,5,132474,118308,14166
473,875,871,4,191600,185230,6370
474,517,513,4,134047,122945,11102
475,10,8,2,17215,12636,4579
476,12,6,6,11131,5476,5655
477,16,12,4,27875,19738,8137
478,21,16,5,40209,27608,12601
479,9,6,3,14212,7232,6980
480,9,7,2,20644,13060,7584
481,5,4,1,10701,7156,3545
482,9,8,1,17989,14426,3563
483,4,2,2,8196,2273,5923
484,2,1,1,1838,1235,603
485,7,3,4,14022,5051,8971
486,5,3,2,15376,7105,8271
487,4,2,2,28732,5187,23545
488,6,6,0,10896,10896,0
489,6,6,0,10896,10896,0
490,6,6,0,10896,10896,0
491,6,6,0,10896,10896,0
492,6,6,0,10896,10896,0
493,1,0,1,4937,0,4937
494,1,0,1,4937,0,4937
495,283,282,1,59108,58542,566
496,1084,1084,0,224785,224785,0
497,1084,1084,0,224785,224785,0
498,1364,1364,0,283132,283132,0
499,1364,1364,0,283132,283132,0
500,1364,1364,0,283132,283132,0
501,1364,1364,0,283132,283132,0
502,2,0,2,281,0,281
503,2,0,2,707,0,707
504,2,0,2,1031,0,1031
505,70,68,2,15074,14138,936
506,1299,1297,2,270326,269328,998
507,2,0,2,875,0,875
508,2,0,2,875,0,875
509,2,1,1,1245,761,484
510,2,0,2,587,0,587
511,3,1,2,2124,932,1192
512,1,0,1,607,0,607
513,6,1,5,3437,1189,2248
514,4,2,2,3751,2783,968
515,1,1,0,1372,1372,0
516,11,0,11,3609,0,3609
517,13,3,10,9488,1955,7533
518,9,5,4,7201,3384,3817
519,6,1,5,7000,2686,4314
520,6,5,1,5721,4326,1395
521,12,7,5,8722,4295,4427
522,1368,1368,0,285246,285246,0
523,8,7,1,9536,6939,2597
524,16,13,3,13125,6210,6915
525,13,12,1,6242,5586,656
526,7,5,2,6529,2243,4286
527,7,5,2,15089,9806,5283
528,9,7,2,11540,6769,4771
529,1291,1291,0,287804,287804,0
530,97,96,1,25922,25113,809
531,10,6,4,14457,4687,9770
532,10,7,3,15694,4976,10718
533,3,2,1,1629,655,974
534,10,8,2,6299,3928,2371
535,11,11,0,9407,9407,0
536,31,28,3,20092,17368,2724
537,26,23,3,37853,32899,4954
538,15,10,5,19800,12289,7511
539,556,548,8,161936,145846,16090
540,850,848,2,200268,194755,5513
541,22,12,10,30944,12468,18476
542,12,7,5,13955,6516,7439
543,23,18,5,25889,20435,5454
544,22,13,9,20620,15984,4636
545,37,24,13,50537,38087,12450
546,893,887,6,196250,191221,5029
547,505,502,3,122729,118798,3931
548,13,13,0,10760,10760,0
549,16,14,2,12553,9828,2725
550,6,5,1,4670,2618,2052
551,3,2,1,1464,455,1009
552,5,3,2,4566,1551,3015
553,3,3,0,3708,3708,0
554,3,1,2,2298,169,2129
555,3,2,1,3215,896,2319
556,10,6,4,9752,7687,2065
557,12,8,4,10221,8791,1430
558,10,3,7,16225,6963,9262
559,20,9,11,31359,8453,22906
560,8,2,6,18007,540,17467
561,13,3,10,27073,4970,22103
562,7,4,3,8574,4983,3591
563,1376,1376,0,291859,291859,0
564,25,23,2,17339,16451,888
565,36,35,1,25667,23032,2635
566,33,32,1,18789,18461,328
567,19,18,1,16395,15749,646
568,120,117,3,115854,108070,7784
569,104,102,2,108158,103149,5009
570,207,202,5,162539,153963,8576
571,96,91,5,89085,64757,24328
572,95,95,0,66986,66986,0
573,537,532,5,115139,110328,4811
574,841,841,0,178342,178342,0
575,5,2,3,3328,1869,1459
576,17,14,3,21633,20389,1244
577,2,2,0,500,500,0
578,9,7,2,4106,2684,1422
579,26,15,11,16669,7897,8772
580,11,5,6,7399,3497,3902
581,8,8,0,10010,10010,0
582,8,8,0,10010,10010,0
583,2,0,2,1774,0,1774
584,9,8,1,11724,11309,415
585,17,17,0,11900,11900,0
586,25,24,1,16551,16237,314
587,7,2,5,4855,322,4533
588,2,1,1,2294,1062,1232
589,1,0,1,1296,0,1296
590,1,0,1,2139,0,2139
591,2,0,2,8145,0,8145
592,2,0,2,8145,0,8145
593,2,0,2,11597,0,11597
594,2,0,2,11597,0,11597
595,2,0,2,11597,0,11597
596,698,698,0,144629,144629,0
597,667,667,0,138655,138655,0
598,667,667,0,138655,138655,0
599,667,667,0,138655,138655,0
600,667,667,0,138655,138655,0
601,667,667,0,138655,138655,0
602,667,667,0,138655,138655,0
603,667,667,0,138655,138655,0
604,667,667,0,138655,138655,0
605,1,0,1,902,0,902
606,4,4,0,1523,1523,0
607,616,616,0,128179,128179,0
608,234,234,0,48563,48563,0
609,1,0,1,471,0,471
610,8,0,8,5669,0,5669
611,3,1,2,1681,356,1325
612,5,0,5,2042,0,2042
613,1,0,1,316,0,316
614,6,6,0,5379,5379,0
615,20,14,6,6288,4805,1483
616,5,3,2,5434,968,4466
617,2,0,2,506,0,506
618,23,20,3,21169,19250,1919
619,21,13,8,24279,22078,2201
620,27,16,11,38248,17690,20558
621,20,18,2,27909,27550,359
622,14,11,3,26058,21971,4087
623,19,12,7,33144,19942,13202
624,20,7,13,25901,4419,21482
625,12,6,6,16519,6180,10339
626,13,7,6,17294,10165,7129
627,13,2,11,22689,2605,20084
628,8,1,7,14169,1211,12958
629,16,9,7,19661,5904,13757
630,1379,1370,9,297782,288087,9695
631,11,7,4,14673,8742,5931
632,20,8,12,14253,3747,10506
633,6,2,4,5671,1306,4365
634,13,6,7,13577,3504,10073
635,17,12,5,18580,16254,2326
636,12,7,5,12609,6614,5995
637,23,16,7,33091,22619,10472
638,25,18,7,35267,27737,7530
639,17,12,5,22654,16885,5769
640,23,11,12,35391,25006,10385
641,26,8,18,26450,4845,21605
642,19,11,8,26487,18616,7871
643,56,38,18,48449,22899,25550
644,51,20,31,50866,21758,29108
645,34,16,18,44209,18730,25479
646,27,18,9,26921,16016,10905
647,23,17,6,12966,8666,4300
648,18,8,10,26436,5639,20797
649,12,10,2,8709,3752,4957
650,10,9,1,11259,5369,5890
651,17,11,6,18666,10148,8518
652,14,12,2,14195,8018,6177
653,7,4,3,8762,5919,2843
654,15,7,8,22133,8567,13566
655,20,17,3,22601,14851,7750
656,2758,2754,4,600660,597217,3443
657,35,24,11,52613,35721,16892
658,34,25,9,33112,20245,12867
659,15,12,3,19381,11038,8343
660,24,12,12,40322,8280,32042
661,15,7,8,22995,7557,15438
662,19,13,6,33324,13490,19834
663,1255,1250,5,272444,265213,7231
664,211,199,12,95897,77506,18391
665,23,16,7,30164,24187,5977
666,16,4,12,22503,9006,13497
667,19,14,5,20755,13813,6942
668,11,9,2,11495,9786,1709
669,23,23,0,14493,14493,0
670,52,47,5,37392,29144,8248
671,37,32,5,37752,24439,13313
672,26,17,9,47911,20543,27368
673,5,4,1,3301,2819,482
674,4,3,1,7848,5167,2681
675,10,8,2,12554,6673,5881
676,3,3,0,5273,5273,0
677,7,7,0,4522,4522,0
678,11,11,0,12282,12282,0
679,4,4,0,5859,5859,0
680,9,7,2,14064,10982,3082
681,7,7,0,18622,18622,0
682,2,2,0,16322,16322,0
683,4,4,0,34153,34153,0
684,5,2,3,22703,9054,13649
685,4,3,1,8762,6166,2596
686,4,3,1,8762,6166,2596
687,1,0,1,846,0,846
688,1,0,1,846,0,846
689,5,0,5,6712,0,6712
690,2200,2200,0,456272,456272,0
691,534,532,2,110898,110552,346
692,534,532,2,110898,110552,346
693,534,532,2,110898,110552,346
694,4,4,0,8657,8657,0
695,2,2,0,5537,5537,0
696,1369,1369,0,285676,285676,0
697,2,2,0,393,393,0
698,2,2,0,393,393,0
699,1,0,1,884,0,884
700,1,0,1,884,0,884
701,1,1,0,193,193,0
702,1,1,0,193,193,0
703,1,0,1,6748,0,6748
704,2,0,2,12487,0,12487
705,2,0,2,12487,0,12487
706,2,0,2,12487,0,12487
707,4,3,1,963,684,279
708,18,12,6,41603,26752,14851
709,23,20,3,30523,28912,1611
710,1883,1874,9,415087,398395,16692
711,908,898,10,221102,198351,22751
712,34,23,11,25315,16479,8836
713,46,30,16,50394,26791,23603
714,55,41,14,38687,19292,19395
715,60,53,7,35990,28028,7962
716,1285,1272,13,312397,299143,13254
717,1352,1339,13,340772,329577,11195
718,1004,994,10,251877,244214,7663
719,20,15,5,27196,14458,12738
720,12,8,4,13754,11702,2052
721,6,5,1,6199,6118,81
722,1430,1425,5,320986,319667,1319
723,657,654,3,147743,144261,3482
724,52,49,3,26196,23988,2208
725,57,55,2,34498,32031,2467
726,272,269,3,71641,70864,777
727,1589,1578,11,407049,394120,12929
728,1219,1204,15,323189,309066,14123
729,540,527,13,157399,143417,13982
730,635,624,11,237644,218417,19227
731,1878,1865,13,494795,479011,15784
732,377,360,17,202172,180498,21674
733,75,56,19,85906,65173,20733
734,143,115,28,202229,138901,63328
735,68,48,20,117113,65269,51844
736,46,27,19,108735,19936,88799
737,1030,1003,27,316603,271694,44909
738,1891,1868,23,505078,467868,37210
739,2111,2086,25,592338,545329,47009
740,954,936,18,259101,234498,24603
741,59,42,17,73272,32458,40814
742,31,22,9,28455,20647,7808
743,1183,1167,16,309168,277625,31543
744,1240,1235,5,277063,267830,9233
745,1883,1875,8,437179,425280,11899
746,1784,1772,12,410642,403959,6683
747,1826,1821,5,454283,443311,10972
748,3431,3409,22,811144,779610,31534
749,2031,2016,15,522294,486570,35724
750,35,17,18,32916,12319,20597
751,36,24,12,48588,23915,24673
752,32,18,14,46298,24029,22269
753,1173,1153,20,328607,276185,52422
754,3024,3010,14,722573,689515,33058
755,3725,3716,9,859205,843153,16052
756,3372,3365,7,761474,750358,11116
757,3849,3841,8,891929,883571,8358
758,2712,2703,9,630987,625924,5063
759,2309,2304,5,543951,537392,6559
760,2268,2262,6,517582,514047,3535
761,1726,1715,11,417829,406694,11135
762,1351,1345,6,318993,315800,3193
763,1168,1162,6,273107,268290,4817
764,1802,1793,9,425296,413846,11450
765,2264,2257,7,517421,508792,8629
766,4692,4686,6,1069735,1061548,8187
767,1744,1741,3,401839,393159,8680
768,3969,3966,3,904900,894593,10307
769,3735,3728,7,856748,846333,10415
770,4480,4474,6,1021449,1010501,10948
771,2126,2124,2,489017,485150,3867
772,1164,1160,4,267673,261173,6500
773,1023,1019,4,235100,227234,7866
774,1979,1979,0,447962,447962,0
775,1890,1888,2,430801,427839,2962
776,1915,1914,1,424714,414881,9833
777,2225,2225,0,488140,488140,0
778,1891,1890,1,415661,415543,118
779,5099,5096,3,1132329,1131240,1089
780,4257,4256,1,964467,964408,59
781,3107,3105,2,703365,701308,2057
782,1944,1942,2,437346,436009,1337
783,2107,2107,0,472619,472619,0
784,2760,2760,0,619894,619894,0
785,2653,2653,0,595134,595134,0
786,1447,1447,0,324301,324301,0
787,1557,1557,0,349095,349095,0
788,2563,2562,1,576206,575469,737
789,2211,2211,0,498891,498891,0
790,2205,2205,0,496223,496223,0
