0,15,10,9,6,19,18,17,4,12,11,13,14,16,5
1,11,14,17,7,18,9,16,5,4,19,15,13,12,8
2,13,5,16,8,10,4,14,19,17,18,12,11,9,7
3,12,8,7,19,6,4,18,16,13,11,14,15,17,9
4,19,18,16,17,14,13,10,9,8,11,12,7,6,5
5,16,14,13,17,4,2,11,8,10,19,18,7,9,1
6,19,15,12,18,4,9,10,0,17,8,7,13,11,16
7,18,11,4,16,14,12,17,8,19,1,3,9,6,5
8,16,12,13,4,19,3,7,5,18,6,14,10,17,2
9,17,18,15,11,4,10,6,19,0,14,7,16,12,5
10,19,15,4,13,9,17,6,0,18,16,5,14,12,8
11,18,17,14,7,1,9,4,16,5,19,15,6,12,10
12,19,6,8,3,4,18,7,16,13,15,10,9,17,11
13,16,5,4,8,2,19,10,14,17,12,18,6,9,7
14,17,16,5,11,4,18,7,1,13,9,19,8,10,12
15,0,6,9,10,19,18,4,17,12,11,13,14,16,7
16,5,4,14,13,8,17,7,18,19,11,12,10,2,9
17,14,11,9,4,18,16,5,10,19,15,13,7,1,6
18,4,11,9,17,7,19,6,14,15,12,16,10,8,13
19,4,6,10,12,15,18,13,8,9,16,17,7,14,0
