0,13,8,6,14,10,11,3,5,17,7,12,18,15,9
1,15,5,9,17,18,10,3,4,12,14,8,11,16,13
2,19,16,7,4,12,11,18,3,6,9,14,17,10,13
3,17,14,12,18,10,11,9,6,5,4,7,8,13,15
4,18,16,12,19,9,7,3,2,17,11,14,15,10,5
5,15,17,10,9,3,1,8,18,14,12,11,13,4,6
6,13,14,11,3,8,7,0,10,12,17,18,19,16,4
7,19,12,11,16,4,2,3,6,18,14,17,13,10,9
8,13,14,10,0,6,3,5,11,17,12,18,15,9,7
9,17,18,15,4,5,3,12,1,10,16,14,11,7,19
10,14,3,17,5,8,13,11,18,15,9,6,12,0,4
11,6,12,7,3,14,18,13,19,10,16,4,17,8,9
12,18,7,11,4,3,16,19,17,14,9,6,10,2,5
13,6,8,14,0,10,11,3,17,12,7,5,18,9,19
14,3,6,10,13,8,11,17,12,18,5,7,0,9,4
15,1,5,9,17,10,18,3,4,12,14,8,11,16,13
16,19,4,2,7,12,18,11,3,9,17,14,6,10,15
17,9,3,5,18,10,15,12,14,4,11,8,1,6,7
18,4,12,9,3,17,16,11,10,7,15,14,5,19,6
19,16,2,7,12,4,11,18,3,6,14,9,17,10,13
