num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,192GB,482,,,,,,0,0,1,750,FP8,Chat
1,192GB,,4219,4219,54845,3038,,0,0,1,750,FP8 (70B),Chat
1,192GB,772,,,,,,0,0,1,750,FP16 (Base),Chat
1,192GB,,6750,6750,87752,4860,,0,0,1,750,FP16 (Base) (70B),Chat
1,192GB,338,,,,,,0,0,1,750,MXFP4,Chat
1,192GB,,2953,2953,38391,2126,,0,0,1,750,MXFP4 (70B),Chat
1,192GB,3955,,,,,,0,0,1,750,FP8,Novel
1,192GB,,34594,34594,449727,24908,,0,0,1,750,FP8 (70B),Novel
1,192GB,6328,,,,,,0,0,1,750,FP16 (Base),Novel
1,192GB,,55351,55351,719563,39853,,0,0,1,750,FP16 (Base) (70B),Novel
1,192GB,2769,,,,,,0,0,1,750,MXFP4,Novel
1,192GB,,24216,24216,314809,17436,,0,0,1,750,MXFP4 (70B),Novel
1,192GB,584,,,,,,0,0,1,750,FP8,Summarization
1,192GB,,5105,5105,66362,3675,,0,0,1,750,FP8 (70B),Summarization
1,192GB,934,,,,,,0,0,1,750,FP16 (Base),Summarization
1,192GB,,8168,8168,106179,5881,,0,0,1,750,FP16 (Base) (70B),Summarization
1,192GB,409,,,,,,0,0,1,750,MXFP4,Summarization
1,192GB,,3573,3573,46453,2573,,0,0,1,750,MXFP4 (70B),Summarization
1,192GB,519,,,,,,0,0,16,750,FP8,Chat
1,192GB,,4535,4535,58958,3265,,0,0,16,750,FP8 (70B),Chat
1,192GB,830,,,,,,0,0,16,750,FP16 (Base),Chat
1,192GB,,7256,7256,94333,5225,,0,0,16,750,FP16 (Base) (70B),Chat
1,192GB,363,,,,,,0,0,16,750,MXFP4,Chat
1,192GB,,3175,3175,41271,2286,,0,0,16,750,MXFP4 (70B),Chat
1,192GB,4252,,,,,,0,0,16,750,FP8,Novel
1,192GB,,37189,37189,483456,26776,,0,0,16,750,FP8 (70B),Novel
1,192GB,6803,,,,,,0,0,16,750,FP16 (Base),Novel
1,192GB,,59502,59502,773530,42842,,0,0,16,750,FP16 (Base) (70B),Novel
1,192GB,2976,,,,,,0,0,16,750,MXFP4,Novel
1,192GB,,26032,26032,338419,18743,,0,0,16,750,MXFP4 (70B),Novel
1,192GB,627,,,,,,0,0,16,750,FP8,Summarization
1,192GB,,5488,5488,71339,3951,,0,0,16,750,FP8 (70B),Summarization
1,192GB,1004,,,,,,0,0,16,750,FP16 (Base),Summarization
1,192GB,,8780,8780,114143,6322,,0,0,16,750,FP16 (Base) (70B),Summarization
1,192GB,439,,,,,,0,0,16,750,MXFP4,Summarization
1,192GB,,3841,3841,49937,2766,,0,0,16,750,MXFP4 (70B),Summarization
1,192GB,543,,,,,,0,0,64,750,FP8,Chat
1,192GB,,4746,4746,61700,3417,,0,0,64,750,FP8 (70B),Chat
1,192GB,868,,,,,,0,0,64,750,FP16 (Base),Chat
1,192GB,,7594,7594,98720,5468,,0,0,64,750,FP16 (Base) (70B),Chat
1,192GB,380,,,,,,0,0,64,750,MXFP4,Chat
1,192GB,,3322,3322,43190,2392,,0,0,64,750,MXFP4 (70B),Chat
1,192GB,4450,,,,,,0,0,64,750,FP8,Novel
1,192GB,,38919,38919,505942,28021,,0,0,64,750,FP8 (70B),Novel
1,192GB,7120,,,,,,0,0,64,750,FP16 (Base),Novel
1,192GB,,62270,62270,809508,44834,,0,0,64,750,FP16 (Base) (70B),Novel
1,192GB,3115,,,,,,0,0,64,750,MXFP4,Novel
1,192GB,,27243,27243,354160,19615,,0,0,64,750,MXFP4 (70B),Novel
1,192GB,657,,,,,,0,0,64,750,FP8,Summarization
1,192GB,,5743,5743,74657,4135,,0,0,64,750,FP8 (70B),Summarization
1,192GB,1051,,,,,,0,0,64,750,FP16 (Base),Summarization
1,192GB,,9189,9189,119452,6616,,0,0,64,750,FP16 (Base) (70B),Summarization
1,192GB,460,,,,,,0,0,64,750,MXFP4,Summarization
1,192GB,,4020,4020,52260,2894,,0,0,64,750,MXFP4 (70B),Summarization
1,192GB,941,,,,,,0,0,256,750,FP8,Chat
1,192GB,,8227,8227,106947,5923,,0,0,256,750,FP8 (70B),Chat
1,192GB,1505,,,,,,0,0,256,750,FP16 (Base),Chat
1,192GB,,13163,13163,171115,9477,,0,0,256,750,FP16 (Base) (70B),Chat
1,192GB,658,,,,,,0,0,256,750,MXFP4,Chat
1,192GB,,5759,5759,74863,4146,,0,0,256,750,MXFP4 (70B),Chat
1,192GB,7713,,,,,,0,0,256,750,FP8,Novel
1,192GB,,67459,67459,876967,48570,,0,0,256,750,FP8 (70B),Novel
1,192GB,12341,,,,,,0,0,256,750,FP16 (Base),Novel
1,192GB,,107934,107934,1403147,77713,,0,0,256,750,FP16 (Base) (70B),Novel
1,192GB,5399,,,,,,0,0,256,750,MXFP4,Novel
1,192GB,,47221,47221,613877,33999,,0,0,256,750,MXFP4 (70B),Novel
1,192GB,1138,,,,,,0,0,256,750,FP8,Summarization
1,192GB,,9954,9954,129406,7167,,0,0,256,750,FP8 (70B),Summarization
1,192GB,1821,,,,,,0,0,256,750,FP16 (Base),Summarization
1,192GB,,15927,15927,207050,11467,,0,0,256,750,FP16 (Base) (70B),Summarization
1,192GB,797,,,,,,0,0,256,750,MXFP4,Summarization
1,192GB,,6968,6968,90584,5017,,0,0,256,750,MXFP4 (70B),Summarization
2,192GB,265,,,,,,0,0,1,1500,FP8,Chat
