num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,288GB,841,,,,,,0,0,256,500,FP16 (Base),Summarization
1,288GB,,7358,7358,38259,4562,191296,0,0,256,500,FP16 (Base) (70B),Summarization
2,288GB,98,,,,,,0,0,1,1000,MXFP4,Chat
2,288GB,,858,858,4459,532,22296,0,0,1,1000,MXFP4 (70B),Chat
2,288GB,132,,,,,,0,0,1,1000,FP8,Chat
2,288GB,,1158,1158,6020,718,30099,0,0,1,1000,FP8 (70B),Chat
2,288GB,196,,,,,,0,0,1,1000,FP16 (Base),Chat
2,288GB,,1715,1715,8918,1063,44591,0,0,1,1000,FP16 (Base) (70B),Chat
2,288GB,804,,,,,,0,0,1,1000,MXFP4,Novel
2,288GB,,7032,7032,36565,4360,182824,0,0,1,1000,MXFP4 (70B),Novel
2,288GB,1085,,,,,,0,0,1,1000,FP8,Novel
2,288GB,,9493,9493,49362,5886,246812,0,0,1,1000,FP8 (70B),Novel
2,288GB,1608,,,,,,0,0,1,1000,FP16 (Base),Novel
2,288GB,,14063,14063,73129,8719,365647,0,0,1,1000,FP16 (Base) (70B),Novel
2,288GB,119,,,,,,0,0,1,1000,MXFP4,Summarization
2,288GB,,1038,1038,5396,643,26978,0,0,1,1000,MXFP4 (70B),Summarization
2,288GB,160,,,,,,0,0,1,1000,FP8,Summarization
2,288GB,,1401,1401,7284,868,36420,0,0,1,1000,FP8 (70B),Summarization
2,288GB,237,,,,,,0,0,1,1000,FP16 (Base),Summarization
2,288GB,,2075,2075,10791,1287,53955,0,0,1,1000,FP16 (Base) (70B),Summarization
2,288GB,105,,,,,,0,0,16,1000,MXFP4,Chat
2,288GB,,922,922,4794,572,23968,0,0,16,1000,MXFP4 (70B),Chat
2,288GB,142,,,,,,0,0,16,1000,FP8,Chat
2,288GB,,1244,1244,6471,772,32356,0,0,16,1000,FP8 (70B),Chat
2,288GB,211,,,,,,0,0,16,1000,FP16 (Base),Chat
2,288GB,,1844,1844,9587,1143,47935,0,0,16,1000,FP16 (Base) (70B),Chat
2,288GB,864,,,,,,0,0,16,1000,MXFP4,Novel
2,288GB,,7559,7559,39307,4687,196535,0,0,16,1000,MXFP4 (70B),Novel
2,288GB,1167,,,,,,0,0,16,1000,FP8,Novel
2,288GB,,10205,10205,53065,6327,265323,0,0,16,1000,FP8 (70B),Novel
2,288GB,1729,,,,,,0,0,16,1000,FP16 (Base),Novel
2,288GB,,15118,15118,78614,9373,393071,0,0,16,1000,FP16 (Base) (70B),Novel
2,288GB,128,,,,,,0,0,16,1000,MXFP4,Summarization
2,288GB,,1115,1115,5800,692,29001,0,0,16,1000,MXFP4 (70B),Summarization
2,288GB,172,,,,,,0,0,16,1000,FP8,Summarization
2,288GB,,1506,1506,7830,934,39151,0,0,16,1000,FP8 (70B),Summarization
2,288GB,255,,,,,,0,0,16,1000,FP16 (Base),Summarization
2,288GB,,2231,2231,11600,1383,58002,0,0,16,1000,FP16 (Base) (70B),Summarization
2,288GB,110,,,,,,0,0,64,1000,MXFP4,Chat
2,288GB,,965,965,5017,598,25083,0,0,64,1000,MXFP4 (70B),Chat
2,288GB,149,,,,,,0,0,64,1000,FP8,Chat
2,288GB,,1302,1302,6772,807,33861,0,0,64,1000,FP8 (70B),Chat
2,288GB,221,,,,,,0,0,64,1000,FP16 (Base),Chat
2,288GB,,1929,1929,10033,1196,50165,0,0,64,1000,FP16 (Base) (70B),Chat
2,288GB,904,,,,,,0,0,64,1000,MXFP4,Novel
2,288GB,,7911,7911,41135,4905,205677,0,0,64,1000,MXFP4 (70B),Novel
2,288GB,1221,,,,,,0,0,64,1000,FP8,Novel
2,288GB,,10679,10679,55533,6621,277663,0,0,64,1000,FP8 (70B),Novel
2,288GB,1809,,,,,,0,0,64,1000,FP16 (Base),Novel
2,288GB,,15821,15821,82271,9809,411353,0,0,64,1000,FP16 (Base) (70B),Novel
2,288GB,133,,,,,,0,0,64,1000,MXFP4,Summarization
2,288GB,,1167,1167,6070,724,30350,0,0,64,1000,MXFP4 (70B),Summarization
2,288GB,180,,,,,,0,0,64,1000,FP8,Summarization
2,288GB,,1576,1576,8194,977,40972,0,0,64,1000,FP8 (70B),Summarization
2,288GB,267,,,,,,0,0,64,1000,FP16 (Base),Summarization
2,288GB,,2335,2335,12140,1447,60700,0,0,64,1000,FP16 (Base) (70B),Summarization
2,288GB,191,,,,,,0,0,256,1000,MXFP4,Chat
2,288GB,,1672,1672,8695,1037,43476,0,0,256,1000,MXFP4 (70B),Chat
2,288GB,258,,,,,,0,0,256,1000,FP8,Chat
2,288GB,,2257,2257,11739,1400,58693,0,0,256,1000,FP8 (70B),Chat
2,288GB,382,,,,,,0,0,256,1000,FP16 (Base),Chat
2,288GB,,3344,3344,17391,2073,86953,0,0,256,1000,FP16 (Base) (70B),Chat
2,288GB,1568,,,,,,0,0,256,1000,MXFP4,Novel
2,288GB,,13712,13712,71301,8501,356506,0,0,256,1000,MXFP4 (70B),Novel
2,288GB,2116,,,,,,0,0,256,1000,FP8,Novel
2,288GB,,18511,18511,96257,11477,481283,0,0,256,1000,FP8 (70B),Novel
2,288GB,3135,,,,,,0,0,256,1000,FP16 (Base),Novel
2,288GB,,27424,27424,142602,17003,713012,0,0,256,1000,FP16 (Base) (70B),Novel
2,288GB,231,,,,,,0,0,256,1000,MXFP4,Summarization
2,288GB,,2023,2023,10521,1254,52606,0,0,256,1000,MXFP4 (70B),Summarization
2,288GB,312,,,,,,0,0,256,1000,FP8,Summarization
2,288GB,,2731,2731,14204,1694,71019,0,0,256,1000,FP8 (70B),Summarization
2,288GB,463,,,,,,0,0,256,1000,FP16 (Base),Summarization
2,288GB,,4047,4047,21043,2509,105213,0,0,256,1000,FP16 (Base) (70B),Summarization
4,288GB,47,,,,,,0,0,1,2000,MXFP4,Chat
4,288GB,,409,409,2128,254,10641,0,0,1,2000,MXFP4 (70B),Chat
4,288GB,63,,,,,,0,0,1,2000,FP8,Chat
4,288GB,,553,553,2873,343,14365,0,0,1,2000,FP8 (70B),Chat
4,288GB,94,,,,,,0,0,1,2000,FP16 (Base),Chat
4,288GB,,819,819,4256,507,21282,0,0,1,2000,FP16 (Base) (70B),Chat
4,288GB,384,,,,,,0,0,1,2000,MXFP4,Novel
4,288GB,,3356,3356,17451,2081,87257,0,0,1,2000,MXFP4 (70B),Novel
4,288GB,518,,,,,,0,0,1,2000,FP8,Novel
4,288GB,,4531,4531,23559,2809,117797,0,0,1,2000,FP8 (70B),Novel
4,288GB,767,,,,,,0,0,1,2000,FP16 (Base),Novel
4,288GB,,6712,6712,34903,4161,174513,0,0,1,2000,FP16 (Base) (70B),Novel
4,288GB,57,,,,,,0,0,1,2000,MXFP4,Summarization
4,288GB,,495,495,2575,307,12876,0,0,1,2000,MXFP4 (70B),Summarization
4,288GB,76,,,,,,0,0,1,2000,FP8,Summarization
4,288GB,,669,669,3476,414,17382,0,0,1,2000,FP8 (70B),Summarization
4,288GB,113,,,,,,0,0,1,2000,FP16 (Base),Summarization
4,288GB,,990,990,5150,614,25751,0,0,1,2000,FP16 (Base) (70B),Summarization
4,288GB,50,,,,,,0,0,16,2000,MXFP4,Chat
4,288GB,,440,440,2288,273,11439,0,0,16,2000,MXFP4 (70B),Chat
4,288GB,68,,,,,,0,0,16,2000,FP8,Chat
4,288GB,,594,594,3089,368,15443,0,0,16,2000,FP8 (70B),Chat
4,288GB,101,,,,,,0,0,16,2000,FP16 (Base),Chat
4,288GB,,880,880,4576,546,22878,0,0,16,2000,FP16 (Base) (70B),Chat
4,288GB,412,,,,,,0,0,16,2000,MXFP4,Novel
4,288GB,,3608,3608,18760,2237,93801,0,0,16,2000,MXFP4 (70B),Novel
4,288GB,557,,,,,,0,0,16,2000,FP8,Novel
4,288GB,,4870,4870,25326,3020,126631,0,0,16,2000,FP8 (70B),Novel
4,288GB,825,,,,,,0,0,16,2000,FP16 (Base),Novel
4,288GB,,7215,7215,37520,4474,187602,0,0,16,2000,FP16 (Base) (70B),Novel
4,288GB,61,,,,,,0,0,16,2000,MXFP4,Summarization
4,288GB,,532,532,2768,330,13841,0,0,16,2000,MXFP4 (70B),Summarization
4,288GB,82,,,,,,0,0,16,2000,FP8,Summarization
4,288GB,,719,719,3737,446,18686,0,0,16,2000,FP8 (70B),Summarization
4,288GB,122,,,,,,0,0,16,2000,FP16 (Base),Summarization
4,288GB,,1065,1065,5537,660,27683,0,0,16,2000,FP16 (Base) (70B),Summarization
4,288GB,53,,,,,,0,0,64,2000,MXFP4,Chat
4,288GB,,460,460,2394,285,11971,0,0,64,2000,MXFP4 (70B),Chat
4,288GB,71,,,,,,0,0,64,2000,FP8,Chat
4,288GB,,622,622,3232,385,16161,0,0,64,2000,FP8 (70B),Chat
4,288GB,105,,,,,,0,0,64,2000,FP16 (Base),Chat
4,288GB,,921,921,4788,571,23942,0,0,64,2000,FP16 (Base) (70B),Chat
4,288GB,432,,,,,,0,0,64,2000,MXFP4,Novel
4,288GB,,3776,3776,19633,2341,98164,0,0,64,2000,MXFP4 (70B),Novel
4,288GB,583,,,,,,0,0,64,2000,FP8,Novel
4,288GB,,5097,5097,26504,3160,132521,0,0,64,2000,FP8 (70B),Novel
4,288GB,863,,,,,,0,0,64,2000,FP16 (Base),Novel
4,288GB,,7551,7551,39266,4682,196328,0,0,64,2000,FP16 (Base) (70B),Novel
4,288GB,64,,,,,,0,0,64,2000,MXFP4,Summarization
4,288GB,,557,557,2897,345,14485,0,0,64,2000,MXFP4 (70B),Summarization
4,288GB,86,,,,,,0,0,64,2000,FP8,Summarization
4,288GB,,752,752,3911,466,19555,0,0,64,2000,FP8 (70B),Summarization
4,288GB,127,,,,,,0,0,64,2000,FP16 (Base),Summarization
4,288GB,,1114,1114,5794,691,28970,0,0,64,2000,FP16 (Base) (70B),Summarization
4,288GB,91,,,,,,0,0,256,2000,MXFP4,Chat
4,288GB,,798,798,4150,495,20750,0,0,256,2000,MXFP4 (70B),Chat
4,288GB,123,,,,,,0,0,256,2000,FP8,Chat
4,288GB,,1077,1077,5603,668,28013,0,0,256,2000,FP8 (70B),Chat
4,288GB,182,,,,,,0,0,256,2000,FP16 (Base),Chat
4,288GB,,1596,1596,8300,990,41500,0,0,256,2000,FP16 (Base) (70B),Chat
4,288GB,748,,,,,,0,0,256,2000,MXFP4,Novel
4,288GB,,6544,6544,34030,4057,170151,0,0,256,2000,MXFP4 (70B),Novel
4,288GB,1010,,,,,,0,0,256,2000,FP8,Novel
4,288GB,,8835,8835,45941,5478,229703,0,0,256,2000,FP8 (70B),Novel
4,288GB,1496,,,,,,0,0,256,2000,FP16 (Base),Novel
4,288GB,,13089,13089,68060,8115,340301,0,0,256,2000,FP16 (Base) (70B),Novel
4,288GB,110,,,,,,0,0,256,2000,MXFP4,Summarization
4,288GB,,966,966,5022,599,25108,0,0,256,2000,MXFP4 (70B),Summarization
4,288GB,149,,,,,,0,0,256,2000,FP8,Summarization
4,288GB,,1304,1304,6779,808,33895,0,0,256,2000,FP8 (70B),Summarization
4,288GB,221,,,,,,0,0,256,2000,FP16 (Base),Summarization
4,288GB,,1931,1931,10043,1197,50215,0,0,256,2000,FP16 (Base) (70B),Summarization
8,288GB,22,,,,,,0,0,1,4000,MXFP4,Chat
8,288GB,,195,195,1013,121,5067,0,0,1,4000,MXFP4 (70B),Chat
8,288GB,30,,,,,,0,0,1,4000,FP8,Chat
8,288GB,,263,263,1368,163,6841,0,0,1,4000,FP8 (70B),Chat
8,288GB,45,,,,,,0,0,1,4000,FP16 (Base),Chat
8,288GB,,390,390,2027,242,10134,0,0,1,4000,FP16 (Base) (70B),Chat
8,288GB,183,,,,,,0,0,1,4000,MXFP4,Novel
8,288GB,,1598,1598,8310,991,41551,0,0,1,4000,MXFP4 (70B),Novel
8,288GB,247,,,,,,0,0,1,4000,FP8,Novel
8,288GB,,2157,2157,11219,1338,56094,0,0,1,4000,FP8 (70B),Novel
8,288GB,365,,,,,,0,0,1,4000,FP16 (Base),Novel
