num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
2,141GB,,1777,1777,25409,1279,131487,0,0,1,1400,FP8 (70B),Chat
2,141GB,315,,,,,,0,0,1,1400,FP16 (Base),Chat
2,141GB,,2754,2754,39384,1983,203804,0,0,1,1400,FP16 (Base) (70B),Chat
2,141GB,132,,,,,,0,0,1,1400,FP4,Chat
2,141GB,,1155,1155,16516,832,85466,0,0,1,1400,FP4 (70B),Chat
2,141GB,1666,,,,,,0,0,1,1400,FP8,Novel
2,141GB,,14570,14570,208353,10491,1078191,0,0,1,1400,FP8 (70B),Novel
2,141GB,2582,,,,,,0,0,1,1400,FP16 (Base),Novel
2,141GB,,22584,22584,322947,16260,1671196,0,0,1,1400,FP16 (Base) (70B),Novel
2,141GB,1083,,,,,,0,0,1,1400,FP4,Novel
2,141GB,,9471,9471,135429,6819,700824,0,0,1,1400,FP4 (70B),Novel
2,141GB,246,,,,,,0,0,1,1400,FP8,Summarization
2,141GB,,2150,2150,30745,1548,159099,0,0,1,1400,FP8 (70B),Summarization
2,141GB,381,,,,,,0,0,1,1400,FP16 (Base),Summarization
2,141GB,,3332,3332,47654,2399,246603,0,0,1,1400,FP16 (Base) (70B),Summarization
2,141GB,160,,,,,,0,0,1,1400,FP4,Summarization
2,141GB,,1397,1397,19984,1006,103414,0,0,1,1400,FP4 (70B),Summarization
2,141GB,218,,,,,,0,0,16,1400,FP8,Chat
2,141GB,,1910,1910,27315,1375,141348,0,0,16,1400,FP8 (70B),Chat
2,141GB,339,,,,,,0,0,16,1400,FP16 (Base),Chat
2,141GB,,2961,2961,42338,2132,219090,0,0,16,1400,FP16 (Base) (70B),Chat
2,141GB,142,,,,,,0,0,16,1400,FP4,Chat
2,141GB,,1242,1242,17754,894,91876,0,0,16,1400,FP4 (70B),Chat
2,141GB,1791,,,,,,0,0,16,1400,FP8,Novel
2,141GB,,15663,15663,223980,11277,1159055,0,0,16,1400,FP8 (70B),Novel
2,141GB,2776,,,,,,0,0,16,1400,FP16 (Base),Novel
2,141GB,,24278,24278,347168,17480,1796535,0,0,16,1400,FP16 (Base) (70B),Novel
2,141GB,1164,,,,,,0,0,16,1400,FP4,Novel
2,141GB,,10181,10181,145587,7330,753386,0,0,16,1400,FP4 (70B),Novel
2,141GB,264,,,,,,0,0,16,1400,FP8,Summarization
2,141GB,,2311,2311,33051,1664,171031,0,0,16,1400,FP8 (70B),Summarization
2,141GB,410,,,,,,0,0,16,1400,FP16 (Base),Summarization
2,141GB,,3582,3582,51228,2579,265098,0,0,16,1400,FP16 (Base) (70B),Summarization
2,141GB,172,,,,,,0,0,16,1400,FP4,Summarization
2,141GB,,1502,1502,21483,1082,111170,0,0,16,1400,FP4 (70B),Summarization
2,141GB,229,,,,,,0,0,64,1400,FP8,Chat
2,141GB,,1999,1999,28585,1439,147923,0,0,64,1400,FP8 (70B),Chat
2,141GB,354,,,,,,0,0,64,1400,FP16 (Base),Chat
2,141GB,,3098,3098,44307,2231,229280,0,0,64,1400,FP16 (Base) (70B),Chat
2,141GB,149,,,,,,0,0,64,1400,FP4,Chat
2,141GB,,1299,1299,18580,936,96150,0,0,64,1400,FP4 (70B),Chat
2,141GB,1874,,,,,,0,0,64,1400,FP8,Novel
2,141GB,,16391,16391,234397,11802,1212964,0,0,64,1400,FP8 (70B),Novel
2,141GB,2905,,,,,,0,0,64,1400,FP16 (Base),Novel
2,141GB,,25407,25407,363316,18293,1880095,0,0,64,1400,FP16 (Base) (70B),Novel
2,141GB,1218,,,,,,0,0,64,1400,FP4,Novel
2,141GB,,10654,10654,152358,7671,788427,0,0,64,1400,FP4 (70B),Novel
2,141GB,277,,,,,,0,0,64,1400,FP8,Summarization
2,141GB,,2419,2419,34588,1741,178986,0,0,64,1400,FP8 (70B),Summarization
2,141GB,429,,,,,,0,0,64,1400,FP16 (Base),Summarization
2,141GB,,3749,3749,53611,2699,277429,0,0,64,1400,FP16 (Base) (70B),Summarization
2,141GB,180,,,,,,0,0,64,1400,FP4,Summarization
2,141GB,,1572,1572,22482,1132,116341,0,0,64,1400,FP4 (70B),Summarization
2,141GB,396,,,,,,0,0,256,1400,FP8,Chat
2,141GB,,3465,3465,49547,2495,256399,0,0,256,1400,FP8 (70B),Chat
2,141GB,614,,,,,,0,0,256,1400,FP16 (Base),Chat
2,141GB,,5371,5371,76798,3867,397418,0,0,256,1400,FP16 (Base) (70B),Chat
2,141GB,257,,,,,,0,0,256,1400,FP4,Chat
2,141GB,,2252,2252,32206,1622,166659,0,0,256,1400,FP4 (70B),Chat
2,141GB,3248,,,,,,0,0,256,1400,FP8,Novel
2,141GB,,28412,28412,406288,20456,2102472,0,0,256,1400,FP8 (70B),Novel
2,141GB,5035,,,,,,0,0,256,1400,FP16 (Base),Novel
2,141GB,,44038,44038,629747,31708,3258831,0,0,256,1400,FP16 (Base) (70B),Novel
2,141GB,2111,,,,,,0,0,256,1400,FP4,Novel
2,141GB,,18468,18468,264088,13297,1366607,0,0,256,1400,FP4 (70B),Novel
2,141GB,479,,,,,,0,0,256,1400,FP8,Summarization
2,141GB,,4192,4192,59952,3019,310243,0,0,256,1400,FP8 (70B),Summarization
2,141GB,743,,,,,,0,0,256,1400,FP16 (Base),Summarization
2,141GB,,6498,6498,92926,4679,480876,0,0,256,1400,FP16 (Base) (70B),Summarization
2,141GB,312,,,,,,0,0,256,1400,FP4,Summarization
2,141GB,,2725,2725,38969,1962,201658,0,0,256,1400,FP4 (70B),Summarization
4,141GB,97,,,,,,0,0,1,2800,FP8,Chat
4,141GB,,848,848,12127,611,62755,0,0,1,2800,FP8 (70B),Chat
4,141GB,150,,,,,,0,0,1,2800,FP16 (Base),Chat
4,141GB,,1314,1314,18797,946,97270,0,0,1,2800,FP16 (Base) (70B),Chat
4,141GB,63,,,,,,0,0,1,2800,FP4,Chat
4,141GB,,551,551,7883,397,40791,0,0,1,2800,FP4 (70B),Chat
4,141GB,795,,,,,,0,0,1,2800,FP8,Novel
4,141GB,,6954,6954,99441,5007,514591,0,0,1,2800,FP8 (70B),Novel
4,141GB,1232,,,,,,0,0,1,2800,FP16 (Base),Novel
4,141GB,,10779,10779,154134,7761,797616,0,0,1,2800,FP16 (Base) (70B),Novel
4,141GB,517,,,,,,0,0,1,2800,FP4,Novel
4,141GB,,4520,4520,64637,3254,334484,0,0,1,2800,FP4 (70B),Novel
4,141GB,117,,,,,,0,0,1,2800,FP8,Summarization
4,141GB,,1026,1026,14674,739,75934,0,0,1,2800,FP8 (70B),Summarization
4,141GB,182,,,,,,0,0,1,2800,FP16 (Base),Summarization
4,141GB,,1591,1591,22744,1145,117697,0,0,1,2800,FP16 (Base) (70B),Summarization
4,141GB,76,,,,,,0,0,1,2800,FP4,Summarization
4,141GB,,667,667,9538,480,49357,0,0,1,2800,FP4 (70B),Summarization
4,141GB,104,,,,,,0,0,16,2800,FP8,Chat
4,141GB,,912,912,13037,656,67462,0,0,16,2800,FP8 (70B),Chat
4,141GB,162,,,,,,0,0,16,2800,FP16 (Base),Chat
4,141GB,,1413,1413,20207,1017,104566,0,0,16,2800,FP16 (Base) (70B),Chat
4,141GB,68,,,,,,0,0,16,2800,FP4,Chat
4,141GB,,593,593,8474,427,43850,0,0,16,2800,FP4 (70B),Chat
4,141GB,855,,,,,,0,0,16,2800,FP8,Novel
4,141GB,,7475,7475,106899,5382,553185,0,0,16,2800,FP8 (70B),Novel
4,141GB,1325,,,,,,0,0,16,2800,FP16 (Base),Novel
4,141GB,,11587,11587,165694,8343,857437,0,0,16,2800,FP16 (Base) (70B),Novel
4,141GB,556,,,,,,0,0,16,2800,FP4,Novel
4,141GB,,4859,4859,69485,3499,359570,0,0,16,2800,FP4 (70B),Novel
4,141GB,126,,,,,,0,0,16,2800,FP8,Summarization
4,141GB,,1103,1103,15774,794,81629,0,0,16,2800,FP8 (70B),Summarization
4,141GB,195,,,,,,0,0,16,2800,FP16 (Base),Summarization
4,141GB,,1710,1710,24450,1231,126524,0,0,16,2800,FP16 (Base) (70B),Summarization
4,141GB,82,,,,,,0,0,16,2800,FP4,Summarization
4,141GB,,717,717,10253,516,53059,0,0,16,2800,FP4 (70B),Summarization
4,141GB,109,,,,,,0,0,64,2800,FP8,Chat
4,141GB,,954,954,13643,687,70599,0,0,64,2800,FP8 (70B),Chat
4,141GB,169,,,,,,0,0,64,2800,FP16 (Base),Chat
4,141GB,,1479,1479,21146,1065,109429,0,0,64,2800,FP16 (Base) (70B),Chat
4,141GB,71,,,,,,0,0,64,2800,FP4,Chat
4,141GB,,620,620,8868,446,45890,0,0,64,2800,FP4 (70B),Chat
4,141GB,894,,,,,,0,0,64,2800,FP8,Novel
4,141GB,,7823,7823,111871,5633,578915,0,0,64,2800,FP8 (70B),Novel
4,141GB,1386,,,,,,0,0,64,2800,FP16 (Base),Novel
4,141GB,,12126,12126,173401,8731,897318,0,0,64,2800,FP16 (Base) (70B),Novel
4,141GB,581,,,,,,0,0,64,2800,FP4,Novel
4,141GB,,5085,5085,72716,3661,376295,0,0,64,2800,FP4 (70B),Novel
4,141GB,132,,,,,,0,0,64,2800,FP8,Summarization
4,141GB,,1154,1154,16508,831,85425,0,0,64,2800,FP8 (70B),Summarization
4,141GB,205,,,,,,0,0,64,2800,FP16 (Base),Summarization
4,141GB,,1789,1789,25587,1288,132409,0,0,64,2800,FP16 (Base) (70B),Summarization
4,141GB,86,,,,,,0,0,64,2800,FP4,Summarization
4,141GB,,750,750,10730,540,55526,0,0,64,2800,FP4 (70B),Summarization
4,141GB,189,,,,,,0,0,256,2800,FP8,Chat
4,141GB,,1654,1654,23648,1191,122372,0,0,256,2800,FP8 (70B),Chat
4,141GB,293,,,,,,0,0,256,2800,FP16 (Base),Chat
4,141GB,,2563,2563,36654,1846,189677,0,0,256,2800,FP16 (Base) (70B),Chat
4,141GB,123,,,,,,0,0,256,2800,FP4,Chat
4,141GB,,1075,1075,15371,774,79542,0,0,256,2800,FP4 (70B),Chat
4,141GB,1550,,,,,,0,0,256,2800,FP8,Novel
4,141GB,,13560,13560,193910,9763,1003452,0,0,256,2800,FP8 (70B),Novel
4,141GB,2403,,,,,,0,0,256,2800,FP16 (Base),Novel
4,141GB,,21018,21018,300561,15133,1555351,0,0,256,2800,FP16 (Base) (70B),Novel
4,141GB,1008,,,,,,0,0,256,2800,FP4,Novel
