num_GPUs,Mem_Size,Llama7b_Process,Llama70b_Process,Llama2_70B_Process,Llama31_405B_Process,Mixtral_8x7B_Process,DeepSeek_R1_Process,prefill_token_size,gen_token_size,batch_size,TDP,Model_Variant,Scenario_Type
1,256GB,443,,,,,,0,0,1,750,FP8,Chat
1,256GB,,3877,3877,44583,2714,224852,0,0,1,750,FP8 (70B),Chat
1,256GB,709,,,,,,0,0,1,750,FP16 (Base),Chat
1,256GB,,6203,6203,71332,4342,359763,0,0,1,750,FP16 (Base) (70B),Chat
1,256GB,310,,,,,,0,0,1,750,MXFP4,Chat
1,256GB,,2714,2714,31208,1900,157396,0,0,1,750,MXFP4 (70B),Chat
1,256GB,3635,,,,,,0,0,1,750,FP8,Novel
1,256GB,,31789,31789,365578,22253,1843786,0,0,1,750,FP8 (70B),Novel
1,256GB,5815,,,,,,0,0,1,750,FP16 (Base),Novel
1,256GB,,50863,50863,584925,35604,2950057,0,0,1,750,FP16 (Base) (70B),Novel
1,256GB,2544,,,,,,0,0,1,750,MXFP4,Novel
1,256GB,,22253,22253,255905,15577,1290650,0,0,1,750,MXFP4 (70B),Novel
1,256GB,536,,,,,,0,0,1,750,FP8,Summarization
1,256GB,,4691,4691,53945,3284,272071,0,0,1,750,FP8 (70B),Summarization
1,256GB,858,,,,,,0,0,1,750,FP16 (Base),Summarization
1,256GB,,7505,7505,86312,5254,435313,0,0,1,750,FP16 (Base) (70B),Summarization
1,256GB,375,,,,,,0,0,1,750,MXFP4,Summarization
1,256GB,,3284,3284,37762,2299,190450,0,0,1,750,MXFP4 (70B),Summarization
1,256GB,476,,,,,,0,0,16,750,FP8,Chat
1,256GB,,4168,4168,47926,2917,241716,0,0,16,750,FP8 (70B),Chat
1,256GB,762,,,,,,0,0,16,750,FP16 (Base),Chat
1,256GB,,6668,6668,76682,4668,386745,0,0,16,750,FP16 (Base) (70B),Chat
1,256GB,334,,,,,,0,0,16,750,MXFP4,Chat
1,256GB,,2917,2917,33548,2042,169201,0,0,16,750,MXFP4 (70B),Chat
1,256GB,3907,,,,,,0,0,16,750,FP8,Novel
1,256GB,,34174,34174,392997,23922,1982069,0,0,16,750,FP8 (70B),Novel
1,256GB,6252,,,,,,0,0,16,750,FP16 (Base),Novel
1,256GB,,54678,54678,628794,38274,3171311,0,0,16,750,FP16 (Base) (70B),Novel
1,256GB,2735,,,,,,0,0,16,750,MXFP4,Novel
1,256GB,,23922,23922,275098,16745,1387449,0,0,16,750,MXFP4 (70B),Novel
1,256GB,577,,,,,,0,0,16,750,FP8,Summarization
1,256GB,,5043,5043,57991,3530,292476,0,0,16,750,FP8 (70B),Summarization
1,256GB,922,,,,,,0,0,16,750,FP16 (Base),Summarization
1,256GB,,8068,8068,92786,5648,467962,0,0,16,750,FP16 (Base) (70B),Summarization
1,256GB,404,,,,,,0,0,16,750,MXFP4,Summarization
1,256GB,,3530,3530,40594,2471,204733,0,0,16,750,MXFP4 (70B),Summarization
1,256GB,499,,,,,,0,0,64,750,FP8,Chat
1,256GB,,4361,4361,50156,3053,252958,0,0,64,750,FP8 (70B),Chat
1,256GB,798,,,,,,0,0,64,750,FP16 (Base),Chat
1,256GB,,6978,6978,80249,4885,404733,0,0,64,750,FP16 (Base) (70B),Chat
1,256GB,349,,,,,,0,0,64,750,MXFP4,Chat
1,256GB,,3053,3053,35109,2137,177071,0,0,64,750,MXFP4 (70B),Chat
1,256GB,4089,,,,,,0,0,64,750,FP8,Novel
1,256GB,,35763,35763,411275,25034,2074259,0,0,64,750,FP8 (70B),Novel
1,256GB,6542,,,,,,0,0,64,750,FP16 (Base),Novel
1,256GB,,57221,57221,658041,40055,3318814,0,0,64,750,FP16 (Base) (70B),Novel
1,256GB,2862,,,,,,0,0,64,750,MXFP4,Novel
1,256GB,,25034,25034,287893,17524,1451981,0,0,64,750,MXFP4 (70B),Novel
1,256GB,603,,,,,,0,0,64,750,FP8,Summarization
1,256GB,,5277,5277,60688,3694,306080,0,0,64,750,FP8 (70B),Summarization
1,256GB,965,,,,,,0,0,64,750,FP16 (Base),Summarization
1,256GB,,8444,8444,97101,5911,489727,0,0,64,750,FP16 (Base) (70B),Summarization
1,256GB,422,,,,,,0,0,64,750,MXFP4,Summarization
1,256GB,,3694,3694,42482,2586,214256,0,0,64,750,MXFP4 (70B),Summarization
1,256GB,864,,,,,,0,0,256,750,FP8,Chat
1,256GB,,7560,7560,86936,5292,438461,0,0,256,750,FP8 (70B),Chat
1,256GB,1383,,,,,,0,0,256,750,FP16 (Base),Chat
1,256GB,,12095,12095,139098,8467,701538,0,0,256,750,FP16 (Base) (70B),Chat
1,256GB,605,,,,,,0,0,256,750,MXFP4,Chat
1,256GB,,5292,5292,60855,3704,306923,0,0,256,750,MXFP4 (70B),Chat
1,256GB,7087,,,,,,0,0,256,750,FP8,Novel
1,256GB,,61989,61989,712877,43393,3595382,0,0,256,750,FP8 (70B),Novel
1,256GB,11340,,,,,,0,0,256,750,FP16 (Base),Novel
1,256GB,,99183,99183,1140604,69428,5752611,0,0,256,750,FP16 (Base) (70B),Novel
1,256GB,4961,,,,,,0,0,256,750,MXFP4,Novel
1,256GB,,43393,43393,499014,30375,2516767,0,0,256,750,MXFP4 (70B),Novel
1,256GB,1046,,,,,,0,0,256,750,FP8,Summarization
1,256GB,,9147,9147,105193,6403,530538,0,0,256,750,FP8 (70B),Summarization
1,256GB,1673,,,,,,0,0,256,750,FP16 (Base),Summarization
1,256GB,,14636,14636,168309,10245,848861,0,0,256,750,FP16 (Base) (70B),Summarization
1,256GB,732,,,,,,0,0,256,750,MXFP4,Summarization
1,256GB,,6403,6403,73635,4482,371377,0,0,256,750,MXFP4 (70B),Summarization
2,256GB,244,,,,,,0,0,1,1500,FP8,Chat
2,256GB,,2132,2132,24520,1493,123669,0,0,1,1500,FP8 (70B),Chat
2,256GB,390,,,,,,0,0,1,1500,FP16 (Base),Chat
2,256GB,,3412,3412,39233,2388,197870,0,0,1,1500,FP16 (Base) (70B),Chat
2,256GB,171,,,,,,0,0,1,1500,MXFP4,Chat
2,256GB,,1493,1493,17164,1045,86568,0,0,1,1500,MXFP4 (70B),Chat
2,256GB,1999,,,,,,0,0,1,1500,FP8,Novel
2,256GB,,17484,17484,201068,12239,1014082,0,0,1,1500,FP8 (70B),Novel
2,256GB,3198,,,,,,0,0,1,1500,FP16 (Base),Novel
2,256GB,,27975,27975,321709,19582,1622531,0,0,1,1500,FP16 (Base) (70B),Novel
2,256GB,1399,,,,,,0,0,1,1500,MXFP4,Novel
2,256GB,,12239,12239,140748,8567,709857,0,0,1,1500,MXFP4 (70B),Novel
2,256GB,295,,,,,,0,0,1,1500,FP8,Summarization
2,256GB,,2580,2580,29670,1806,149639,0,0,1,1500,FP8 (70B),Summarization
2,256GB,472,,,,,,0,0,1,1500,FP16 (Base),Summarization
2,256GB,,4128,4128,47472,2890,239422,0,0,1,1500,FP16 (Base) (70B),Summarization
2,256GB,206,,,,,,0,0,1,1500,MXFP4,Summarization
2,256GB,,1806,1806,20769,1264,104747,0,0,1,1500,MXFP4 (70B),Summarization
2,256GB,262,,,,,,0,0,16,1500,FP8,Chat
2,256GB,,2292,2292,26360,1604,132944,0,0,16,1500,FP8 (70B),Chat
2,256GB,419,,,,,,0,0,16,1500,FP16 (Base),Chat
2,256GB,,3667,3667,42175,2567,212710,0,0,16,1500,FP16 (Base) (70B),Chat
2,256GB,183,,,,,,0,0,16,1500,MXFP4,Chat
2,256GB,,1604,1604,18452,1123,93061,0,0,16,1500,MXFP4 (70B),Chat
2,256GB,2149,,,,,,0,0,16,1500,FP8,Novel
2,256GB,,18795,18795,216148,13157,1090138,0,0,16,1500,FP8 (70B),Novel
2,256GB,3438,,,,,,0,0,16,1500,FP16 (Base),Novel
2,256GB,,30073,30073,345837,21051,1744221,0,0,16,1500,FP16 (Base) (70B),Novel
